,Communication Preference,Age,College Degree,Gender,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Face to Face,Teen,Non/Degree,Female,,,,Age,,College Degree,,Gender,
,Face to Face,Teen,Non/Degree,Female,,,,Teen,Non-teen,Degree,Non/Degree,Male,Female
,Face to Face,Teen,Non/Degree,Female,,,Texting,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,Phone,22,27,,,,
,Face to Face,Teen,Non/Degree,Male,,,Face to face,12,12,12,12,14,10
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Teen,Non/Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Face to Face,Non-Teen,Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Male,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Face to Face,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
